epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.693,0.38065,0.40491,1.29244,0.88492,0.99936,0.99987,0.995,0.98159,0.99936,0.99987,0.995,0.98088,0.22301,0.1721,0.30194,0.80333,0.00333168,0.00333168,0.00333168
2,331.467,0.38202,0.27316,0.56575,0.87996,0.99902,0.99929,0.995,0.98229,0.99902,0.99929,0.995,0.98513,0.22118,0.17303,0.26918,0.79819,0.00653304,0.00653304,0.00653304
3,489.49,0.40005,0.28766,0.49196,0.88757,0.99819,0.99813,0.99488,0.98633,0.99819,0.99813,0.99488,0.98463,0.21022,0.17985,0.23441,0.7943,0.00960241,0.00960241,0.00960241
4,646.598,0.37242,0.28327,0.39733,0.88225,0.99962,0.9994,0.995,0.98883,0.99962,0.9994,0.995,0.98743,0.19078,0.15708,0.18094,0.78567,0.009406,0.009406,0.009406
5,803.227,0.32945,0.24954,0.32463,0.87293,0.99975,0.99926,0.995,0.99131,0.99975,0.99926,0.995,0.98802,0.164,0.13773,0.14656,0.77728,0.009208,0.009208,0.009208
6,960.071,0.30522,0.22978,0.29011,0.86473,0.9998,1,0.995,0.99327,0.9998,1,0.995,0.99022,0.14627,0.13008,0.12776,0.77038,0.00901,0.00901,0.00901
7,1116.22,0.2883,0.21767,0.26766,0.8604,0.99982,1,0.995,0.99389,0.99982,1,0.995,0.99054,0.13849,0.12083,0.12367,0.76741,0.008812,0.008812,0.008812
8,1272.7,0.27662,0.21101,0.25359,0.8567,0.99985,1,0.995,0.99463,0.99985,1,0.995,0.9923,0.12486,0.10943,0.10914,0.76228,0.008614,0.008614,0.008614
9,1429.02,0.26777,0.20216,0.24466,0.85537,0.99983,1,0.995,0.99449,0.99983,1,0.995,0.99109,0.11964,0.10637,0.11077,0.76236,0.008416,0.008416,0.008416
10,1585.58,0.26163,0.20294,0.23685,0.85333,0.99983,1,0.995,0.99464,0.99983,1,0.995,0.99168,0.11268,0.10714,0.09965,0.76015,0.008218,0.008218,0.008218
11,1742.43,0.25407,0.19338,0.22934,0.85275,0.99985,1,0.995,0.99465,0.99985,1,0.995,0.99219,0.10976,0.10068,0.09607,0.7586,0.00802,0.00802,0.00802
12,1899.48,0.2501,0.18953,0.22431,0.8524,0.99984,1,0.995,0.99478,0.99984,1,0.995,0.99201,0.10475,0.10023,0.09343,0.75691,0.007822,0.007822,0.007822
13,2056.35,0.24409,0.1821,0.21965,0.84931,0.99984,1,0.995,0.99481,0.99984,1,0.995,0.99238,0.10456,0.10262,0.09106,0.75686,0.007624,0.007624,0.007624
14,2213.72,0.24197,0.18372,0.21474,0.84835,0.99983,1,0.995,0.99474,0.99983,1,0.995,0.99224,0.10066,0.09531,0.08738,0.7558,0.007426,0.007426,0.007426
15,2370.71,0.23651,0.18052,0.20908,0.84814,0.99986,1,0.995,0.9949,0.99986,1,0.995,0.99224,0.09542,0.0948,0.08325,0.75424,0.007228,0.007228,0.007228
16,2527.75,0.23247,0.17706,0.20554,0.84675,0.99987,1,0.995,0.99496,0.99987,1,0.995,0.99235,0.09154,0.09214,0.08075,0.75328,0.00703,0.00703,0.00703
17,2684.86,0.23073,0.1746,0.20314,0.84751,0.99984,1,0.995,0.9949,0.99984,1,0.995,0.9924,0.08981,0.09216,0.07862,0.75271,0.006832,0.006832,0.006832
18,2842.09,0.22863,0.17583,0.19904,0.84699,0.99989,1,0.995,0.99493,0.99989,1,0.995,0.99273,0.08872,0.0908,0.07732,0.75268,0.006634,0.006634,0.006634
19,2999.48,0.22785,0.17504,0.20047,0.8468,0.99993,1,0.995,0.99499,0.99993,1,0.995,0.99235,0.09156,0.08931,0.08148,0.75361,0.006436,0.006436,0.006436
20,3156.6,0.22405,0.17238,0.19451,0.84546,0.99983,1,0.995,0.99496,0.99983,1,0.995,0.99252,0.0872,0.08848,0.07712,0.75215,0.006238,0.006238,0.006238
21,3313.62,0.21906,0.16564,0.19157,0.84376,0.9999,1,0.995,0.99495,0.9999,1,0.995,0.99267,0.08452,0.08765,0.07409,0.75155,0.00604,0.00604,0.00604
22,3470.55,0.21698,0.16858,0.18768,0.84535,0.99983,1,0.995,0.99499,0.99983,1,0.995,0.99267,0.08357,0.08771,0.0725,0.75126,0.005842,0.005842,0.005842
23,3627.5,0.21571,0.16191,0.18594,0.84366,0.99984,1,0.995,0.99498,0.99984,1,0.995,0.99251,0.08213,0.08657,0.07112,0.75073,0.005644,0.005644,0.005644
24,3784.81,0.21079,0.1608,0.18351,0.84294,0.99989,1,0.995,0.99499,0.99989,1,0.995,0.99235,0.08189,0.08609,0.07099,0.75041,0.005446,0.005446,0.005446
25,3941.64,0.21114,0.16099,0.18086,0.8437,0.99989,1,0.995,0.99498,0.99989,1,0.995,0.99227,0.0811,0.08532,0.07075,0.75027,0.005248,0.005248,0.005248
26,4099.01,0.20719,0.15895,0.17594,0.84157,0.99991,1,0.995,0.99499,0.99991,1,0.995,0.99236,0.07998,0.08465,0.06902,0.75011,0.00505,0.00505,0.00505
27,4256.1,0.20684,0.15737,0.17653,0.84083,0.99993,1,0.995,0.99499,0.99993,1,0.995,0.99237,0.07962,0.0847,0.06895,0.74991,0.004852,0.004852,0.004852
28,4413.27,0.2059,0.15817,0.17488,0.84053,0.9999,1,0.995,0.99495,0.9999,1,0.995,0.99243,0.0792,0.08456,0.06843,0.74977,0.004654,0.004654,0.004654
29,4570.52,0.20423,0.15428,0.17351,0.84088,0.9999,1,0.995,0.99496,0.9999,1,0.995,0.99235,0.07874,0.08417,0.06809,0.74962,0.004456,0.004456,0.004456
30,4727.71,0.20305,0.15437,0.17084,0.84143,0.99993,1,0.995,0.99495,0.99993,1,0.995,0.99241,0.0785,0.08382,0.06795,0.74951,0.004258,0.004258,0.004258
31,4885.11,0.19982,0.1502,0.16864,0.83951,0.9999,1,0.995,0.99497,0.9999,1,0.995,0.99232,0.0782,0.0837,0.0674,0.74942,0.00406,0.00406,0.00406
32,5042.54,0.19747,0.15226,0.16614,0.84044,0.99991,1,0.995,0.99499,0.99991,1,0.995,0.99237,0.07792,0.08347,0.06726,0.74938,0.003862,0.003862,0.003862
33,5199.85,0.19487,0.14872,0.16445,0.83953,0.99995,1,0.995,0.99499,0.99995,1,0.995,0.99232,0.07744,0.08326,0.06729,0.74927,0.003664,0.003664,0.003664
34,5357.34,0.19339,0.14953,0.16068,0.83838,0.99992,1,0.995,0.99499,0.99992,1,0.995,0.9923,0.07699,0.08309,0.06689,0.74914,0.003466,0.003466,0.003466
35,5514.78,0.19423,0.14977,0.16218,0.83895,0.99992,1,0.995,0.99499,0.99992,1,0.995,0.99228,0.07656,0.08292,0.06566,0.74898,0.003268,0.003268,0.003268
36,5672.26,0.19068,0.1462,0.15726,0.83804,0.99995,1,0.995,0.995,0.99995,1,0.995,0.99246,0.07617,0.08267,0.06545,0.74891,0.00307,0.00307,0.00307
37,5829.89,0.18682,0.14263,0.15297,0.83766,0.99992,1,0.995,0.995,0.99992,1,0.995,0.99234,0.07591,0.08247,0.06532,0.74879,0.002872,0.002872,0.002872
38,5987.59,0.18567,0.14304,0.15409,0.83797,0.99992,1,0.995,0.995,0.99992,1,0.995,0.99252,0.07547,0.08233,0.06441,0.74869,0.002674,0.002674,0.002674
39,6145.71,0.18459,0.14543,0.15209,0.83665,0.9999,1,0.995,0.995,0.9999,1,0.995,0.99242,0.07518,0.08219,0.06414,0.7486,0.002476,0.002476,0.002476
40,6303.78,0.18386,0.14199,0.15059,0.83786,0.99995,1,0.995,0.995,0.99995,1,0.995,0.99253,0.07491,0.08201,0.06409,0.7485,0.002278,0.002278,0.002278
41,6456.68,0.12239,0.09881,0.10388,0.78722,0.99995,1,0.995,0.99499,0.99995,1,0.995,0.99261,0.07454,0.08181,0.06343,0.74843,0.00208,0.00208,0.00208
42,6607.28,0.11836,0.09648,0.10047,0.78475,0.99995,1,0.995,0.99499,0.99995,1,0.995,0.9925,0.07422,0.08152,0.06311,0.74834,0.001882,0.001882,0.001882
43,6757.73,0.11254,0.09362,0.09367,0.78152,0.99997,1,0.995,0.99499,0.99997,1,0.995,0.99265,0.07379,0.08116,0.06269,0.74822,0.001684,0.001684,0.001684
44,6908.23,0.1119,0.09193,0.09526,0.78324,0.99995,1,0.995,0.995,0.99995,1,0.995,0.99257,0.07342,0.08076,0.06271,0.74811,0.001486,0.001486,0.001486
45,7058.76,0.10821,0.09194,0.09053,0.78132,0.99998,1,0.995,0.995,0.99998,1,0.995,0.99265,0.07322,0.0804,0.0628,0.74804,0.001288,0.001288,0.001288
46,7209.67,0.10329,0.09077,0.08523,0.77951,0.99998,1,0.995,0.995,0.99998,1,0.995,0.99248,0.07287,0.08006,0.06249,0.74789,0.00109,0.00109,0.00109
47,7360.18,0.09995,0.08836,0.08166,0.77975,0.99998,1,0.995,0.995,0.99998,1,0.995,0.9926,0.07249,0.07977,0.06216,0.74783,0.000892,0.000892,0.000892
48,7511.02,0.09811,0.08865,0.07922,0.77749,0.99998,1,0.995,0.995,0.99998,1,0.995,0.9924,0.07212,0.07947,0.0613,0.74772,0.000694,0.000694,0.000694
49,7661.74,0.09408,0.08563,0.07626,0.777,0.99996,1,0.995,0.995,0.99996,1,0.995,0.99234,0.07182,0.0792,0.06089,0.74762,0.000496,0.000496,0.000496
50,7812.46,0.09149,0.08576,0.07317,0.77672,0.99998,1,0.995,0.995,0.99998,1,0.995,0.99234,0.07141,0.07896,0.0608,0.74747,0.000298,0.000298,0.000298
